index,acc,acc_parcel,f1w,f1w_parcel,f1ma,f1ma_parcel,n_pixels
2019/31UDR/2019_31UDR_patch_11_26.nc,0.48988354206085205,0.7698169946670532,0.5243819355964661,0.9828948378562927,0.3762703537940979,0.7611920237541199,88220
2020/31TCG/2020_31TCG_patch_04_16.nc,0.2138853222131729,0.3921230733394623,0.13456633687019348,0.9484902024269104,0.13442879915237427,0.43254992365837097,35901
2019/31UCP/2019_31UCP_patch_20_29.nc,0.5023502707481384,0.5480185151100159,0.5618857741355896,0.9170361757278442,0.3155326843261719,0.5104529857635498,92729
2019/31TDG/2019_31TDG_patch_05_28.nc,0.11811399459838867,0.2834736108779907,0.0018551235552877188,0.667299747467041,0.01014257688075304,0.2585146427154541,4107
2019/31TCJ/2019_31TCJ_patch_18_21.nc,0.18011271953582764,0.3602254390716553,0.00642138347029686,0.5888734459877014,0.03844688832759857,0.25090262293815613,4935
2019/31TDM/2019_31TDM_patch_02_20.nc,0.22784115374088287,0.3037881851196289,0.02473090961575508,0.7474532127380371,0.07426617294549942,0.2898273766040802,15585
2019/31TCG/2019_31TCG_patch_23_10.nc,0.0,0.0,0.0,0.0,0.0,0.0,239
2019/31TCG/2019_31TCG_patch_16_06.nc,0.11952538788318634,0.15936718881130219,0.002848556498065591,0.6598799228668213,0.017083358019590378,0.1858297884464264,2942
2019/31TBF/2019_31TBF_patch_22_06.nc,0.10895857214927673,0.2905561923980713,0.005856738425791264,0.6651140451431274,0.03514226898550987,0.2892509698867798,3417
2020/31TDG/2020_31TDG_patch_24_04.nc,0.26205331087112427,0.6551333069801331,0.05497545376420021,0.8173313140869141,0.09376656264066696,0.6175367832183838,19361
2020/31TDG/2020_31TDG_patch_22_08.nc,0.3042314350605011,0.45634713768959045,0.15094541013240814,0.8484881520271301,0.1953965723514557,0.4411177635192871,38265
2019/31TCJ/2019_31TCJ_patch_27_04.nc,0.0,0.0,0.0,0.0,0.0,0.0,0
2019/31UDR/2019_31UDR_patch_23_27.nc,0.4854271113872528,0.8321607708930969,0.507253885269165,0.9863648414611816,0.3365247845649719,0.8328827619552612,85223
2019/31TCL/2019_31TCL_patch_25_16.nc,0.26167142391204834,0.4485796093940735,0.0030268800910562277,0.9429322481155396,0.021762406453490257,0.45178213715553284,4343
2019/31TDM/2019_31TDM_patch_28_25.nc,0.311065137386322,0.3732782006263733,0.0888771265745163,0.912879228591919,0.1523132026195526,0.32211771607398987,21445
2019/31TCJ/2019_31TCJ_patch_26_15.nc,0.4447026252746582,0.5336431264877319,0.28992193937301636,0.9487180709838867,0.26233893632888794,0.5486577153205872,57155
2019/31TDG/2019_31TDG_patch_22_20.nc,0.2367212474346161,0.315628319978714,0.05405769869685173,0.761921763420105,0.08113377541303635,0.2865957021713257,22083
2019/31TDK/2019_31TDK_patch_20_29.nc,0.30629706382751465,0.4083960950374603,0.01725669950246811,0.6179313659667969,0.06879573315382004,0.3634777069091797,11801
2019/31TCJ/2019_31TCJ_patch_06_28.nc,0.25381261110305786,0.3807188868522644,0.01153859868645668,0.6178879737854004,0.0396927185356617,0.34345054626464844,7155
2019/31UDR/2019_31UDR_patch_19_01.nc,0.49515628814697266,0.8488393425941467,0.2206190824508667,0.9913747310638428,0.23506015539169312,0.8415465354919434,47235
2019/31TCL/2019_31TCL_patch_04_08.nc,0.24770347774028778,0.3715552091598511,0.012287149205803871,0.9310365915298462,0.06188143789768219,0.3659030497074127,9415
2019/31TBF/2019_31TBF_patch_28_07.nc,0.06863885372877121,0.18875685334205627,2.8927963285241276e-05,0.7414039969444275,0.0006440209690481424,0.2036489099264145,601
2020/31TDG/2020_31TDG_patch_16_21.nc,0.05282635986804962,0.09684833139181137,0.00019742616859730333,0.7203092575073242,0.0015786080621182919,0.12154924124479294,1542
2020/31TDF/2020_31TDF_patch_12_02.nc,0.0,0.0,0.0,0.0,0.0,0.0,0
2019/31TCG/2019_31TCG_patch_24_11.nc,0.07066046446561813,0.1295441836118698,0.0012983247870579362,0.6853854656219482,0.013651266694068909,0.17750948667526245,1571
2019/31UCP/2019_31UCP_patch_10_13.nc,0.4386424124240875,0.5848565697669983,0.23766861855983734,0.9437606930732727,0.22779738903045654,0.5852185487747192,51086
2020/31TCG/2020_31TCG_patch_14_07.nc,0.09157581627368927,0.22893954813480377,0.0001447319082217291,0.7881640195846558,0.001921477378346026,0.22340425848960876,1144
2019/31TCF/2019_31TCF_patch_05_03.nc,0.13127413392066956,0.45945945382118225,2.153685045414022e-06,0.9577465653419495,0.0011138959089294076,0.47887325286865234,37
2019/31UCP/2019_31UCP_patch_28_13.nc,0.3500988483428955,0.3819260597229004,0.4937272071838379,0.8952379822731018,0.2937401831150055,0.3872324824333191,82288
2019/31UDR/2019_31UDR_patch_09_24.nc,0.561455249786377,0.9624947309494019,0.3447829484939575,0.9855538606643677,0.3308485746383667,0.9669742584228516,66977
2019/31UDR/2019_31UDR_patch_17_12.nc,0.6042073369026184,0.7552592158317566,0.32131659984588623,0.967833936214447,0.3594375550746918,0.7557106018066406,65024
2019/31TDM/2019_31TDM_patch_12_24.nc,0.269511878490448,0.35934919118881226,0.035969287157058716,0.8599730730056763,0.07495714724063873,0.37214362621307373,16157
2020/31TCG/2020_31TCG_patch_17_29.nc,0.1776730716228485,0.3257339596748352,0.021622076630592346,0.9587218761444092,0.023922299966216087,0.2517395615577698,12849
2019/31TCJ/2019_31TCJ_patch_13_28.nc,0.618232011795044,0.6744349002838135,0.1785937249660492,0.9309552907943726,0.29545164108276367,0.6821738481521606,42350
2019/31TDG/2019_31TDG_patch_12_09.nc,0.0,0.0,0.0,0.0,0.0,0.0,0
2019/31TDK/2019_31TDK_patch_01_05.nc,0.3172190487384796,0.6344380974769592,0.0022504718508571386,0.9843846559524536,0.022076770663261414,0.6432792544364929,2750
2020/31TCG/2020_31TCG_patch_09_01.nc,0.0,0.0,0.0,0.0,0.0,0.0,0
2020/31TCF/2020_31TCF_patch_00_26.nc,0.0,0.0,0.0,0.0,0.0,0.0,0
2019/31TCL/2019_31TCL_patch_15_29.nc,0.3834640383720398,0.5112854242324829,0.005577470175921917,0.720449686050415,0.06440968811511993,0.40190282464027405,4442
2019/31TCL/2019_31TCL_patch_15_17.nc,0.29265210032463074,0.5016893148422241,0.014100085943937302,0.8735172748565674,0.06372271478176117,0.5019822716712952,10910
